Area Name,2000
United States,79.0
Alabama,55.4
Alaska,65.6
Arizona,88.2
Arkansas,52.5
California,94.4
Colorado,84.5
Connecticut,87.7
Delaware,80.1
District of Columbia,100.0
Florida,89.3
Georgia,71.6
Hawaii,91.5
Idaho,66.4
Illinois,87.8
Indiana,70.8
Iowa,61.1
Kansas,71.4
Kentucky,55.8
Louisiana,72.6
Maine,40.2
Maryland,86.1
Massachusetts,91.4
Michigan,74.7
Minnesota,70.9
Mississippi,48.8
Missouri,69.4
Montana,54.1
Nebraska,69.8
Nevada,91.5
New Hampshire,59.3
New Jersey,94.4
New Mexico,75.0
New York,87.5
North Carolina,60.2
North Dakota,55.9
Ohio,77.4
Oklahoma,65.3
Oregon,78.7
Pennsylvania,77.1
Rhode Island,90.9
South Carolina,60.5
South Dakota,51.9
Tennessee,63.6
Texas,82.5
Utah,88.2
Vermont,38.2
Virginia,73.0
Washington,82.0
West Virginia,46.1
Wisconsin,68.3
Wyoming,65.1
